Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
Krysuvik,Condomines1983,RVB,REP,Krysuvik,Krysuvik,0,Krysuvik,0,0,0,0,63.9,-22.08,Glass,49.314,1.543,14.825,0,10.488,0,0.182,8.441,12.707,2.037,0.252,0.212,0,0,0,100,4.362080602,0.967255775
RE16,Hardarson1997,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,Lava,49.49,2.29,13.56,0,14.39,0,0.24,6.36,10.75,2.47,0.24,0.21,0,0,0,100,2.91079938,0.842079708
D6D,Hemond1993,RVB,REP,Reykjanes,Reykjanes,Sandfellshaed,Reykjanes,0,0,0,0,63.88,-22.54,Lava,48.05,1.07,16.12,0,10.72,0,0.17,8.88,12.71,1.83,0.17,0.29,0,0,0,100.01,8.83099628,0.943109591
RP86A,Gee,RVB,REP,Reykjanes,Lagafell_flow_ontop_of_pillows_SW_THorbjarnarfell,Lagafell,Reykjanes,Post-Glacial,<13000 BP,0,0,63.85,-22.45,Pillow,48.61,1.35,15.56,0,10.76,0,0.19,8.7,12.57,2.01,0.13,0.13,0,0,0,100.01,7.167891267,0.994709976
RP51A,Gee,RVB,REP,Reykjanes,Slaga_3phi_from_top,Slaga,Reykjanes,0,0,0,0,63.85,-22.3,Pillow,48.63,1.59,15.04,0,10.47,0,0.19,8.8,12.83,2,0.27,0.18,0,0,0,100,5.757798807,0.800635801
RP51B,Gee,RVB,REP,Reykjanes,Slaga_3phi_flow_from_ca_20m_below_51A,Slaga,Reykjanes,0,0,0,0,63.85,-22.3,Pillow,48.58,1.56,15.09,0,10.48,0,0.19,8.86,12.85,1.96,0.25,0.18,0,0,0,100,6.018522464,0.813708115
RP69E,Gee,RVB,REP,Krysuvik,Keilir_loose_debris_almost_aphyric,Keilir,Krysuvik,0,0,0,0,63.95,-22.02,Pillow,48.89,1.32,15.71,0,9.88,0,0.18,8.82,12.83,1.94,0.26,0.15,0,0,0,99.98,6.4074053,0.988972278
RP69C,Gee,RVB,REP,Krysuvik,Keilir_pillow_debris,Keilir,Krysuvik,0,0,0,0,63.95,-22.02,Pillow,48.81,1.33,15.85,0,9.73,0,0.18,8.92,12.82,1.95,0.26,0.15,0,0,0,100,6.82185347,0.991621921
RP49E,Gee,RVB,REP,Krysuvik,Graenadyngja_E_side__flowlets_whitish_v_fine_grained_aphyric,0,Krysuvik,0,0,0,0,63.92,-22.08,Glass,49.25,1.77,14.54,0,11.79,0,0.21,7.58,12.33,2.08,0.23,0.22,0,0,0,100,3.456853945,0.807700839
RP57B____1L,Gee,RVB,REP,Krysuvik,Hrutafell_older_Lava_2phi,Hrutafell,Krysuvik,0,0,0,0,63.93,-22.07,Glass,49.31,1.06,14.99,0,10.65,0,0.2,8.57,13.21,1.86,0.05,0.1,0,0,0,100,4.614920848,0.972794833
456712,Peate2009,RVB,REP,Brennisteinsfjoll,0,Stapafell,Brennisteinsfjoll,Glacial,Glacial (20-100 Ka),0,0,63.91,-22.53,Lava,47.86,1.88,14.92,0,11.32,0,0.19,8.39,12.93,2.02,0.27,0.2,0,0,0,99.98,5.679628785,0.933650922
456749g,Peate2009,RVB,REP,Brennisteinsfjoll,0,Stapafell,Brennisteinsfjoll,Glacial,Glacial (20-100 Ka),0,0,63.91,-22.53,Glass,48.789,1.801,15.288,0,10.607,0,0.162,8.398,12.516,2.165,0.273,0,0,0,0,100,5.587348975,0.983673602
RP42I____1F,Gee,RVB,REP,Krysuvik,Meltunnuklif__unit_2_flow_from_road_section_>10k,Meltunnuklif,Krysuvik,0,0,0,0,63.85,-22.27,Lava,48.25,1.75,15.42,0,11.01,0,0.2,8.61,12.51,1.92,0.15,0.19,0,0,0,100.01,7.204292399,0.988303664
RP26V______P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_aphyric_pillows_and_Glass_150m_W_of_26T,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,48.06,1.76,15.49,0,12.2,0,0.2,8.08,11.7,2.19,0.14,0.17,0,0,0,99.99,8.226904521,0.929700748
RP26Y______P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge__pillow_margin_,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,47.86,1.61,15.87,0,11.79,0,0.19,8.65,11.55,2.18,0.13,0.15,0,0,0,99.98,10.25626606,0.9750936
RP27C,Gee,RVB,REP,Krysuvik,Helgafell_Ridge__N_end_2_phase_flow?_bnth_hy_opp_wall_to_27A_may_be_same,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,47.89,1.64,15.77,0,11.79,0,0.2,8.65,11.58,2.18,0.14,0.15,0,0,0,99.99,10.01261136,0.952735681
RP27A____2F,Gee,RVB,REP,Krysuvik,Helgafell_Ridge__N_end_2_phase_flow?_bnth_hy,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,47.87,1.53,16.09,0,11.41,0,0.19,9,11.56,2.08,0.12,0.15,0,0,0,100,11.14270735,0.93471269
RP51I,Gee,RVB,REP,Krysuvik,Borgarfjall_20m_from_top_almost_aphyric_flow,Borgarfjall,Krysuvik,0,0,0,0,63.85,-22.3,Pillow,48.69,1.59,15.05,0,10.51,0,0.19,8.61,12.84,2.08,0.27,0.17,0,0,0,100,5.326470566,0.903720405
RP42J1____2F,Gee,RVB,REP,Krysuvik,Meltunnuklif__unit_3_flow_from_road_section_>10k,Meltunnuklif,Krysuvik,0,0,0,0,63.85,-22.27,Lava,48,1.81,15.14,0,11.53,0,0.2,8.66,12.36,1.94,0.17,0.19,0,0,0,100,7.58234718,0.905411315
RP33,Gee,RVB,REP,Krysuvik,NE_of_Keilir_aphyric_pillow,0,Krysuvik,0,0,0,0,63.97,-22.13,Pillow,48.69,1.78,14.94,0,11.78,0,0.21,7.8,12.11,2.23,0.24,0.22,0,0,0,100,5.262984515,0.93918722
RP61H__Dyke,Gee,RVB,REP,Krysuvik,NE_of_Kleifarvatn_dyke_in_possible_3_phase_knolls,Kleifarvatn,Krysuvik,0,0,0,0,63.97,-21.93,Pillow_Glass,49.25,1.77,14.41,0,12.43,0,0.22,7.35,11.79,2.34,0.24,0.2,0,0,0,100,3.910139795,0.945437289
RP41B____2P,Gee,RVB,REP,Krysuvik,NW_of_Kleifarvatn_large_Quarry_basal_pillows,Kleifarvatn,Krysuvik,0,0,0,0,63.97,-21.95,Pillow,48.12,1.82,15.45,0,12.06,0,0.21,8.07,11.8,2.14,0.16,0.18,0,0,0,100.01,7.835182209,0.902334074
RP41C____1P,Gee,RVB,REP,Krysuvik,NW_of_Kleifarvatn_large_Quarry_basal_pillows_unit_above_41B,Kleifarvatn,Krysuvik,0,0,0,0,63.97,-21.95,Pillow,48.02,1.83,15.44,0,11.99,0,0.21,8.14,11.86,2.18,0.15,0.18,0,0,0,100,7.92382695,0.954204084
RP65L___F,Gee,RVB,REP,Krysuvik,Borgaholl_Welded_Lava_same_as_65E?,Borgahol,Krysuvik,0,0,0,0,63.87,-22.07,Glass,49.29,1.68,14.18,0,13.24,0,0.23,7.1,11.62,2.35,0.16,0.15,0,0,0,100,3.836623422,0.898028138
RP65E____F,Gee,RVB,REP,Krysuvik,Below_Viking_House_welded_Lava_ontop_of_Scoriaceous_material_possibly_similar_to_65L,Borgahol,Krysuvik,0,0,0,0,63.87,-22.07,Glass,49.15,1.28,14.61,0,11.43,0,0.2,8.23,12.85,2,0.12,0.12,0,0,0,99.99,4.276341486,0.996444213
RP26G_____2P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_pillow_nama_Plag_phyric_pillow_below_u/c_Unit_2,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,49.13,1.43,15.2,0,10.76,0,0.19,8.51,12.39,2.02,0.22,0.16,0,0,0,100.01,5.950995862,0.994135424
RP53A____1P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_pillow_nama_Plag_phyric_pillow_from_quarry_floor_Unit_1,Helgafell,Krysuvik,Glacial,0,0,0,64.03,-21.9,Pillow,49.23,1.59,14.79,0,11.36,0,0.2,7.81,12.45,2.13,0.25,0.18,0,0,0,99.99,3.926009842,0.897482489
RP26H____3P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_pillow_nama_Plag_phyric_pillow_above_u/c_Unit_3,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,49,1.37,15.52,0,10.39,0,0.18,8.64,12.47,2.07,0.21,0.15,0,0,0,100,6.483792568,0.996061856
RP26J____4P,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_pillow_nama_highest_Plag_phyric_pillow_above_u/c_Unit_4,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,49.12,1.42,15.21,0,10.75,0,0.19,8.5,12.36,2.08,0.22,0.16,0,0,0,100.01,5.976731209,0.988950406
RP26N____5F,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_above_pillow_nama_flow._Unit_5?,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,48.02,1.68,15.66,0,11.9,0,0.21,8.44,11.65,2.15,0.13,0.16,0,0,0,100,9.248394741,0.996057001
RP26A,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_debris_from_S_end_of_ridge_by_road.,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,47.92,1.78,15.5,0,11.82,0,0.21,8.53,11.89,2.06,0.13,0.17,0,0,0,100.01,8.861668384,0.989907847
RP130A,Gee,RVB,REP,Krysuvik,Fitjar_dyke_in_Skritha,Fitjar,Krysuvik,0,0,0,0,63.83,-22.1,Glass,49.09,1.35,14.77,0,11.52,0,0.2,8.3,12.62,1.87,0.13,0.13,0,0,0,99.98,5.137421505,0.996385985
RP58F__GH,Gee,RVB,REP,Krysuvik,W_Kleifarvatn_Hofmannaflott__hya_and_Glass_from_flow_ontop_of_ridge_most_recent_,Kleifarvatn,Krysuvik,0,0,0,0,63.92,-22.03,Pillow,48.25,1.83,15.16,0,12.18,0,0.2,7.97,11.8,2.26,0.17,0.19,0,0,0,100.01,7.087054774,0.982981654
RP58G_F(58F),Gee,RVB,REP,Krysuvik,W_Kleifarvatn_Hofmannaflott__flow_associated_with_58F_ontop_of_ridge_most_recent_,Kleifarvatn,Krysuvik,0,0,0,0,63.92,-22.03,Pillow,48.28,1.81,15.2,0,12.18,0,0.2,7.81,11.89,2.28,0.16,0.19,0,0,0,100,6.637973496,0.880859959
RP62I____1P,Gee,RVB,REP,Krysuvik,N_Kleifarvatn_aphyric_pillows_from_'island',Kleifarvatn,Krysuvik,0,0,0,0,63.95,-21.95,Pillow_Glass,49.21,1.88,14.57,0,12.11,0,0.21,7.28,11.88,2.34,0.29,0.23,0,0,0,100,3.60031582,0.810167095
RP26O,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_pillowing_flow_from_N_side_of_graben,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,47.95,1.63,15.8,0,11.83,0,0.2,8.65,11.55,2.1,0.13,0.16,0,0,0,100,10.110606,0.983387659
RP26T,Gee,RVB,REP,Krysuvik,Helgafell_Ridge_basalt_from_radial_cooling_polygons_on_S_of_graben,Helgafell,Krysuvik,Glacial,0,0,0,64,-21.87,Pillow,48.14,1.81,15.12,0,12.41,0,0.21,8.01,11.82,2.15,0.16,0.17,0,0,0,100,7.365080711,0.986103047
RP52A____1F,GeeThirlwall2004,RVB,REP,Krysuvik,Hamranes_nama_massive_flow_plag_phi_Asfjall_older_than_52c_>10k,Hamranes-nama,Krysuvik,0,0,0,0,64.03,-21.95,Lava,48.91,0.67,15.86,0,9.04,0,0.16,9.65,13.98,1.66,0.03,0.05,0,0,0,100.01,6.576310719,0.993856611
RP51E,Gee,RVB,REP,Krysuvik,Slaga_3phi_massive_flow_glaciated,Slaga,Krysuvik,0,0,0,0,63.85,-22.3,Glass,48.5,1.59,15.2,0,10.65,0,0.18,8.63,12.89,1.93,0.25,0.18,0,0,0,100,5.841342089,0.983158528
RP42M1____3F,Gee,RVB,REP,Krysuvik,Meltunnuklif__unit_4b_flow_from_road_section_>10k,Meltunnuklif,Krysuvik,0,0,0,0,63.85,-22.27,Lava,48.9,1.47,15.12,0,11.25,0,0.2,8.16,12.5,2.07,0.16,0.16,0,0,0,99.99,5.427333813,0.92559166
RP115P,Gee,RVB,REP,Krysuvik,Aphyric_W_of_Meradalur_glaciated,0,Krysuvik,0,0,0,0,63.9,-22.22,Glass,48.21,1.61,15.25,0,11.16,0,0.19,8.66,12.51,2.03,0.23,0.16,0,0,0,100.01,7.102026857,0.896548396
RP59C,Gee,RVB,REP,Krysuvik,D12_Glaciated_flow_round_Keilir_Vogar,0,Krysuvik,0,0,0,0,63.97,-22.4,Lava,48.32,2.07,14.36,0,12.59,0,0.22,8.03,11.98,2.06,0.17,0.2,0,0,0,100,5.855558385,0.880528353
RP64B____1F,Gee,RVB,REP,Krysuvik,Glaciated_flow_N_of_coast_rd_Krysuvikurheidi_possibly_older_than_64B,0,Krysuvik,0,0,0,0,63.85,-22,Pillow,49.25,1.2,14.6,0,11.17,0,0.2,8.4,13.09,1.9,0.1,0.11,0,0,0,100.02,4.089452007,0.992634717
RP103E,Gee,RVB,REP,Krysuvik,Possibly_similar_to_RP103A-C_but_from_further_N_across_new_flow,0,Krysuvik,0,0,0,0,63.9,-21.97,Lava,48.43,0.61,16.63,0,8.63,0,0.17,9.98,13.54,1.97,0.01,0.03,0,0,0,100,9.252655332,0.953239856
RP64S____1F,Gee,RVB,REP,Krysuvik,D18_E_southern_coast_road_oldest_2_phase_flow,0,Krysuvik,0,0,0,0,63.85,-22,Lava,48.14,1.48,16.05,0,10.61,0,0.18,8.57,12.39,2.26,0.18,0.14,0,0,0,100,8.097300694,0.949116854
RP132C,Gee,RVB,REP,Krysuvik,Husafell_glaciated_flow,Husafell,Krysuvik,0,0,0,0,64.02,-21.8,Pillow,48.2,1.29,15.93,0,10.38,0,0.18,9.28,12.48,1.97,0.16,0.14,0,0,0,100.01,9.21805865,0.871292207
RP68D,Gee,RVB,REP,Krysuvik,HT_>_10k,0,Krysuvik,0,0,0,0,64.08,-21.83,Lava,48.63,0.6,16.22,0,9.01,0,0.17,9.92,13.63,1.74,0.04,0.04,0,0,0,100,8.425900921,0.924190896
RP64P____2F,Gee,RVB,REP,Krysuvik,D23_E_southern_coast_road_older_2_phase_flow,0,Krysuvik,0,0,0,0,63.85,-22,Lava,48.63,1.31,15.19,0,10.89,0,0.2,8.51,13.08,1.98,0.1,0.1,0,0,0,99.99,5.525845872,0.981604173
IC215,Hardarson1997,RVB,REP,Krysuvik,0,Eldborgarhraun,Krysuvik,Historical,1325 AD,0,0,63.97,-21.43,Lava,49.05,1.58,14.85,0,11.83,0,0.19,7.79,11.96,2.4,0.18,0.15,0,0,0,99.98,5.124077146,0.987929571
IC221,Hardarson1997,RVB,REP,Brennisteinsfjoll,0,Heidin_Ha,Brennisteinsfjoll,Glacial,0,0,0,63.89,-21.97,Lava,48.38,1.18,15.71,0,10.34,0,0.18,9.2,12.75,2.08,0.09,0.09,0,0,0,100,8.161272526,0.859016688
RP11,Koornneef2012,RVB,REP,Brennisteinsfjoll,0,Herdi_sarvik,Brennisteinsfjoll,0,0,0,0,63.87,-21.786,Lava,48.669,1.363,15.413,0.051,10.912,0,0.183,8.363,12.646,2.096,0.153,0.132,0,0,0,100,6.119987887,0.938366252
RP12,Koornneef2012,RVB,REP,Brennisteinsfjoll,0,Grindaskord,Brennisteinsfjoll,0,0,0,0,63.876,-21.741,Lava,48.495,1.65,14.991,0.04,11.786,0,0.202,7.966,12.217,2.257,0.202,0.172,0,0,0,100,5.778941848,0.992587837
RP13,Koornneef2012,RVB,REP,Brennisteinsfjoll,0,Hlidarvatn,Brennisteinsfjoll,0,0,0,0,63.875,-21.74,Lava,48.307,1.685,15.255,0.04,11.992,0,0.202,7.728,12.097,2.27,0.222,0.182,0,0,0,100,6.093207583,0.803616228
RP55,Koornneef2012,RVB,REP,Krysuvik,0,Straumsvik,Krysuvik,0,0,0,0,64.043,-22.027,Lava,49.444,1.407,14.055,0.02,12.3,0,0.213,7.554,12.384,2.288,0.182,0.142,0,0,0,100,2.8578944,0.986322218
RP115E,Gee,RVB,REP,Reykjanes,H53_possibly_fissure_flow_N_Fagradalsfjall_may_be_D11.,0,Reykjanes,0,0,0,0,63.9,-22.22,Lava,48.55,1.26,15.6,0,10.38,0,0.18,9.3,12.65,1.83,0.13,0.11,0,0,0,99.99,8.223527751,0.850252721
RP105A,GeeThirlwall2006,RVB,REP,Reykjanes,D7??_NE_of_Lagafell/Thortharfell,0,Reykjanes,0,0,0,0,63.9,-22.5,Lava,49.08,0.5,16.59,0,8.16,0,0.15,9.99,13.96,1.5,0.02,0.04,0,0,0,99.99,7.908490804,0.939327396
IC218,Hardarson1997,RVB,REP,Hengill,Thorlakshofn,Selvogsheidi,Hengill,0,0,0,0,63.92,-21.58,Lava,49.18,1.47,14.48,0,11.53,0,0.2,7.8,12.91,2.27,0.08,0.07,0,0,0,99.99,2.988301536,0.946989197
RP63K____F,Gee,RVB,REP,Reykjanes,welded_Lava_to_SE_of_63J_SW_of_Graenavatn,0,Reykjanes,0,0,0,0,63.9,-22,Glass,49.11,1.36,14.87,0,11.37,0,0.2,8.18,12.55,2.07,0.14,0.15,0,0,0,100,4.970243326,0.990378182
RP111C,Gee,RVB,REP,Hengill,Younger_Lava_flowing_around_Burfell_D25_Leitin_(Jakobsson),0,Brennisteinsfjoll,0,0,0,0,63.92,-21.47,Lava,48.81,1.73,15.22,0,11.6,0,0.22,8.15,11.87,2.07,0.16,0.16,0,0,0,99.99,6.726653985,0.934414528
RP59I,Gee,RVB,REP,Reykjanes,D3_Hafnasandur_aphyric_pahoehoe._Bergholl,Haleyjabunga,Reykjanes,Post-Glacial,<13000 BP,0,0,63.97,-22.4,Lava,48.98,1.37,15,0,11.07,0,0.19,8.29,13,1.87,0.12,0.11,0,0,0,100,4.702101443,0.891154426
RP59J____1F,Gee,RVB,REP,Reykjanes,D4_Sandvikur_'rift_section'_basal_flow,Sandvikur,Reykjanes,0,0,0,0,63.97,-22.4,Lava,48.63,1.17,15.65,0,10.34,0,0.19,9.09,12.85,1.87,0.09,0.1,0,0,0,99.98,7.550280741,0.989126868
RP59N____2F,Gee,RVB,REP,Reykjanes,D4_Sandvikur_top_flow_'rift_section'_ca_12_compound_flow_units_inbtn,Sandvikur,Reykjanes,0,0,0,0,63.97,-22.4,Lava,48.69,1.32,15.24,0,10.96,0,0.19,8.55,12.91,1.93,0.12,0.11,0,0,0,100.02,5.933216394,0.986189858
RP134C,Gee,RVB,REP,Krysuvik,H94_Sandfell_NE_of_Troll_range_recent_plag_phi,Sandfell,Krysuvik,0,0,0,0,63.97,-21.97,Lava,48.78,1.29,15.16,0,10.57,0,0.19,8.72,13.12,1.92,0.13,0.12,0,0,0,100,5.532705792,0.994510892
RP80C,GeeThirlwall2006,RVB,REP,Reykjanes,D1_Skalafell_2phi_youger_than_Ha,Skalafell,Reykjanes,Post-Glacial,<13000 BP,0,0,63.82,-22.65,Lava,49.94,1.12,14.45,0,11.36,0,0.21,8.15,12.63,1.96,0.1,0.09,0,0,0,100.01,3.680031475,0.999338527
RP109B,Gee,RVB,REP,Brennisteinsfjoll,D24_Strompar_Blafjoll_base_2_phi_pahoehoe,Strompar-Blafjoll,Brennisteinsfjoll,0,0,0,0,63.98,-21.63,Lava,48.72,1.27,15.38,0,10.88,0,0.19,8.9,12.44,1.93,0.17,0.13,0,0,0,100.01,7.481584556,0.905796635
RP122B,Gee,RVB,REP,Reykjanes,H169_Lava,0,Reykjanes,0,0,0,0,63.85,-22.37,Lava,48.7,1.57,14.8,0,11.97,0,0.21,7.89,12.45,2.09,0.18,0.14,0,0,0,100,4.980622497,0.951275115
IT6,Sinton2005,RVB,REP,Brennisteinsfjoll,Reykjanes,Leitahraun,Brennisteinsfjoll,Post-Glacial,5200 BP,0,0,64.1,-21.5,Lava,48.15,1.79,15.26,0,12.21,0,0.19,8.22,11.91,1.94,0.16,0.16,0,0,0,99.99,7.815734643,0.968764359
IT92,Sinton2005,RVB,REP,Brennisteinsfjoll,Reykjanes,Leitahraun,Brennisteinsfjoll,Post-Glacial,5200 BP,0,0,63.94,-21.33,Lava,48.58,1.71,15.18,0,12.05,0,0.19,8.4,12.1,1.47,0.15,0.16,0,0,0,99.99,7.504804895,0.857843737
RP51F_____1F,Gee,RVB,REP,Reykjanes,H45_Youngest_flow_in_area_from_Selskal_E_of_Kast,Selskel,Reykjanes,0,0,0,0,63.85,-22.3,Lava,49.14,1.13,15.48,0,10.77,0,0.19,8.42,12.72,1.93,0.13,0.11,0,0,0,100.02,5.890743023,0.82932397
RP134E,Gee,RVB,REP,Krysuvik,Fjallitheina_aphyric_2_phi_,Fjallitheina,Krysuvik,0,0,0,0,63.97,-21.97,Pillow,49.36,1.64,14.45,0,12.19,0,0.22,7.54,12.03,2.19,0.2,0.18,0,0,0,100,3.903481379,0.929446367
rsg54,Hemond1993,RVB,REP,Reykjanes,Reykjanes,Haleyjabunga,Reykjanes,Post-Glacial,<13000 BP,0,0,63.82,-22.682,Lava,48.878,0.359,16.06,0,7.661,0,0.19,10.075,14.963,1.776,0.02,0.02,0,0,0,100,5.564390471,0.94872592
RP106D,Gee,RVB,REP,Reykjanes,H46_recent_flow_from_Fagrradalsfjall_Gorn_medium_grained_CPX_present,0,Reykjanes,0,0,0,0,63.88,-22.32,Lava,49.08,0.94,15.79,0,9.85,0,0.18,9.25,12.98,1.76,0.1,0.08,0,0,0,100.01,7.330977537,0.998241441
RP64H,Gee,RVB,REP,Brennisteinsfjoll,H115_E_southern_coast_road_2_phase_recent_flow_Slattadalur,0,Brennisteinsfjoll,0,0,0,0,63.85,-22,Lava,48.17,1.63,15.31,0,11.91,0,0.2,8.54,11.76,2.15,0.17,0.16,0,0,0,100,8.585379643,0.86829665
RP64I,Gee,RVB,REP,Brennisteinsfjoll,H127_E_southern_coast_road_recent_flow_from_nama_more_phyric_than_64H_,0,Brennisteinsfjoll,0,0,0,0,63.85,-22,Lava,48.62,1.43,15.45,0,11.09,0,0.19,8.4,12.45,2.07,0.16,0.14,0,0,0,100,6.667516503,0.960626051
RP68F____2,Gee,RVB,REP,Reykjanes,bl1_11-4k,0,Reykjanes,0,0,0,0,64.08,-21.83,Lava,48.43,1.51,15.53,0,11.23,0,0.2,8.55,12.17,2.07,0.16,0.15,0,0,0,100,7.762311565,0.996821207
RP42K,Gee,RVB,REP,Krysuvik,H55?_Meltunnuklif_2_phi_flow_age_relationship_uncertain_fissured,Meltunnuklif,Krysuvik,0,0,0,0,63.85,-22.27,Lava,48.03,1.79,15.24,0,11.48,0,0.2,8.58,12.35,1.94,0.18,0.2,0,0,0,99.99,7.535805667,0.973121189
RP65S_,Gee,RVB,REP,Krysuvik,H69_Younger_plag_phi_flow_coming_out_of_Stori-Hamradalur,Stori-Hamradalur,Krysuvik,0,0,0,0,63.87,-22.07,Lava,49.45,1.53,14.44,0,12.07,0,0.21,7.68,12.2,2.08,0.17,0.15,0,0,0,99.98,3.876672924,0.937848695
RP64K,Gee,RVB,REP,Krysuvik,H128_E_southern_coast_road_2_phase_recent_flow_Stalhavrikrah,Stalhavrikrah,Krysuvik,0,0,0,0,63.85,-22,Lava,48.43,1.43,15.59,0,11.01,0,0.19,8.49,12.46,2.11,0.15,0.14,0,0,0,100,7.174505433,0.974211004
RP65N,GeeThirlwall2004,RVB,REP,Krysuvik,H69_Ogmundar-hraun_sparse_plag_phi_1050,Ogmundarhraun,Krysuvik,Post-Glacial,1151-1188 AD,0,0,63.87,-22.07,Lava,49.24,1.54,14.55,0,12.17,0,0.22,7.61,12.12,2.21,0.18,0.16,0,0,0,100,4.184355696,0.936968467
H1,Kokfelt2006,RVB,REP,Brennisteinsfjoll,Trolladyngja,Herdisarvikurhraun,Brennisteinsfjoll,0,0,0,0,63.86,-21.91,Lava,48.71,1.43,15.41,0,11.03,0,0.19,8.38,12.54,2.01,0.15,0.14,0,0,0,99.99,6.337466043,0.920398112
RP31P,Gee,RVB,REP,Krysuvik,H77_Echo_valley_younger_plag_phi_Scoria,0,Krysuvik,0,0,0,0,63.95,-22.08,Scoria,48.97,1.4,15.03,0,11.26,0,0.2,8.38,12.62,1.89,0.13,0.13,0,0,0,100.01,5.62568956,0.976715139
RP36A,Gee,RVB,REP,Krysuvik,H77_Echo_valley_welded_plag_phi_Lava_,0,Krysuvik,0,0,0,0,63.95,-22.08,Lava,49.58,1.41,14.65,0,11.77,0,0.21,7.67,12.29,2.12,0.16,0.13,0,0,0,99.99,3.786696831,0.818993843
RP57P,Gee,RVB,REP,Krysuvik,H72_Younger_Lava_erupted_thr_fissure_inc_Hrutafell,0,Krysuvik,0,0,0,0,63.93,-22.07,Lava,49.42,1.52,14.38,0,12.23,0,0.22,7.76,12.09,2.05,0.18,0.14,0,0,0,99.99,4.255897003,0.992886905
RP63C_recent,Gee,RVB,REP,Krysuvik,W_Kleifarvatn_W_of_road_at_turnoff_for_S_Kleif_youger_Scoria_mounds_aphyric_Lava,Kleifarvatn,Krysuvik,0,0,0,0,63.9,-22.02,Lava,49.36,1.46,14.5,0,12.57,0,0.22,7.64,11.86,2.15,0.13,0.12,0,0,0,100.01,4.816391777,0.961340968
RP63D,Gee,RVB,REP,Krysuvik,W_Kleifarvatn_E_of_road_at_turnoff_for_S_Kleif_youger_(welded)_flow_in_small_nama_aphyric_sparse_plag_xenocryst,Kleifarvatn,Krysuvik,0,0,0,0,63.9,-22.02,Lava,49.6,1.45,14.29,0,12.44,0,0.22,7.49,12.1,2.15,0.14,0.11,0,0,0,99.99,3.545768043,0.920935964
RP61F____3F,Gee,RVB,REP,Krysuvik,H129_recent_flow_from_NE_of_Kleifarvatn_in_valley_btn_mounds_and_61G,0,Krysuvik,0,0,0,0,63.97,-21.93,Lava,48.33,1.7,15.4,0,11.67,0,0.19,8.06,12.13,2.15,0.19,0.17,0,0,0,99.99,6.808647747,0.882412619
RP23N_____1,Gee,RVB,REP,Krysuvik,H99_Obrinnisholar_2_phase_recent_flow/drape_from_Scoria_cones,Obrinnisholar,Krysuvik,0,0,0,0,64,-21.9,Lava,48.6,1.34,15.38,0,11.15,0,0.19,8.93,12.22,1.92,0.13,0.12,0,0,0,99.98,8.14680586,0.88097836
RP15,Koornneef2012,RVB,REP,Hengill,Thingvellir,Nesjahraun,Hengill,0,0,0,0,63.956,-21.445,Lava,48.942,1.5,14.446,0.02,12.05,0,0.203,7.785,12.367,2.332,0.193,0.152,0,0,0,100,4.144081501,0.974797593
456747,Peate2009,RVB,REP,Brennisteinsfjoll,0,Hellnahraun_yngra,Brennisteinsfjoll,Historical,940-980 AD,0,0,64.03,-21.95,Lava,48.31,1.73,15.39,0,11.41,0,0.2,8.18,12.21,2.18,0.21,0.17,0,0,0,99.99,6.764492249,0.95968166
456733,Peate2009,RVB,REP,Brennisteinsfjoll,0,Breiddalshraun,Brennisteinsfjoll,Historical,940-980 AD,0,0,63.93,-21.83,Lava,48.28,1.68,15.42,0,11.51,0,0.2,8.11,12.2,2.22,0.2,0.17,0,0,0,99.99,6.776464089,0.935786387
456732,Peate2009,RVB,REP,Brennisteinsfjoll,0,Breiddalshraun,Brennisteinsfjoll,Historical,940-980 AD,0,0,63.93,-21.83,Lava,48.43,1.75,15.19,0,11.6,0,0.2,8,12.24,2.19,0.21,0.17,0,0,0,99.98,6.02002674,0.932001347
