Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.29,1.81,12.56,0,12.84,0,0.26,6.67,11.03,2.39,0.17,0.2,0,0,0,98.22,0.448015837,0.805811943
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.35,1.87,12.86,0,13,0,0.19,6.39,11.05,2.47,0.22,0.16,0,0,0,98.56,0.219734597,0.995847599
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,51.16,1.83,12.72,0,13.14,0,0.18,6.16,11.32,2.49,0.17,0.27,0,0,0,99.44,-1.122466903,0.907908337
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.14,1.84,13.61,0,11.89,0,0.17,7.22,12.09,2.2,0.18,0.03,0,0,0,98.37,1.553929215,0.968230275
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.44,1.93,13.54,0,12.37,0,0.19,7.03,11.77,2.3,0.17,0.25,0,0,0,98.99,1.681266115,0.966996216
27,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.06,1.82,12.89,0,12.52,0,0.19,6.9,11.8,2.33,0.15,0.22,0,0,0,97.88,0.641409387,0.946354727
26,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.94,1.89,13.46,0,12.38,0,0.21,6.73,11.31,2.37,0.2,0.13,0,0,0,98.62,1.279628221,0.886400392
26,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.03,1.91,13.42,0,12.49,0,0.19,6.8,11.32,2.37,0.17,0.2,0,0,0,98.9,1.414998285,0.938766099
26,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,51.09,1.79,12.83,0,13.11,0,0.16,6.16,11.38,2.48,0.19,0.15,0,0,0,99.34,-1.083432398,0.860313844
26,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.17,1.54,13.39,0,11.57,0,0.23,7.02,12.92,2.31,0.22,0.1,0,0,0,99.47,-1.192346089,0.936967682
6,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.21,1.67,13.49,0,12.06,0,0.13,6.86,11.85,2.21,0.22,0.23,0,0,0,98.93,0.524193017,0.840538235
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.52,1.54,13.32,0,11.9,0,0.18,6.87,12.28,2.27,0.16,0.2,0,0,0,98.24,-0.070989333,0.87486619
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.81,1.57,13.28,0,11.84,0,0.13,6.84,11.89,2.16,0.21,0.14,0,0,0,97.87,0.181944791,0.884494872
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.45,1.55,13.15,0,11.8,0,0.18,6.82,12.04,2.18,0.19,0.19,0,0,0,97.55,-0.109809184,0.906898765
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.12,1.89,12.91,0,13.56,0,0.21,6.13,11.18,2.38,0.23,0.2,0,0,0,98.81,-0.017549772,0.807365276
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.42,2.04,12.65,0,13.69,0,0.22,6.13,11.18,2.4,0.22,0.24,0,0,0,99.19,-0.470638299,0.948940846
4,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.42,1.67,13.54,0,11.98,0,0.17,7.01,11.37,2.25,0.17,0.15,0,0,0,97.73,2.053735494,0.95369618
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.9,1.59,13.26,0,11.86,0,0.18,6.69,12.14,2.52,0.2,0.16,0,0,0,97.5,-0.186505447,0.942921928
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.8,1.74,13.23,0,11.9,0,0.17,6.62,10.83,2.23,0.16,0.24,0,0,0,95.92,1.827455158,0.803224495
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.91,1.62,13.36,0,12.12,0,0.16,7,10.48,2.27,0.14,0.2,0,0,0,96.26,3.570298795,0.989575831
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.51,1.63,13.18,0,11.62,0,0.15,6.62,10.61,2.25,0.12,0.13,0,0,0,94.82,2.101224725,0.820780956
3,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.6,1.6,13.29,0,11.1,0,0.21,6.7,9.8,2.29,0.17,0.16,0,0,0,94.92,3.008800905,0.948522955
3,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.62,1.49,13.28,0,12.02,0,0.17,6.94,10.86,2.32,0.11,0.15,0,0,0,95.96,2.827665919,0.99690378
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.9,1.6,13.31,0,11.88,0,0.18,6.87,9.97,2.33,0.17,0.17,0,0,0,95.38,3.861820429,0.985868708
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.28,1.51,13.41,0,12.19,0,0.2,6.89,10.74,2.19,0.16,0.18,0,0,0,95.75,3.436414625,0.972566185
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.6,1.53,13.28,0,11.87,0,0.18,6.94,9.87,2.24,0.18,0.15,0,0,0,94.84,4.332758106,0.962293025
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,47.74,1.92,12.79,0,13.24,0,0.2,6.07,10.31,2.38,0.2,0.24,0,0,0,95.09,2.045082933,0.868846652
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.82,1.53,13.38,0,12.05,0,0.2,6.97,10.46,2.26,0.15,0.22,0,0,0,96.04,3.624446017,0.998333642
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.61,1.48,13.38,0,11.79,0,0.2,6.93,10.4,2.24,0.22,0.14,0,0,0,95.39,3.519945539,0.995056839
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.19,1.55,13.41,0,12.29,0,0.18,6.85,10.92,2.11,0.19,0.16,0,0,0,96.85,2.62132794,0.924404575
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.32,1.52,13.37,0,11.93,0,0.18,6.82,11.43,2.28,0.14,0.2,0,0,0,97.19,1.360997896,0.885731169
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.11,1.54,13.48,0,11.84,0,0.22,6.84,10.82,2.3,0.17,0.2,0,0,0,95.52,3.114706792,0.938820618
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.14,1.67,12.92,0,13.32,0,0.23,6.16,10.24,2.42,0.24,0.19,0,0,0,95.53,2.474151828,0.967393143
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.48,1.82,12.65,0,13.27,0,0.19,5.95,9.65,2.41,0.25,0.22,0,0,0,94.89,2.294075127,0.972736948
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.59,1.88,12.55,0,13.52,0,0.14,6,9.27,2.46,0.14,0.21,0,0,0,94.76,3.043774451,0.992928606
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.51,1.59,13.4,0,11.97,0,0.19,6.99,10.86,2.06,0.15,0.15,0,0,0,95.87,3.196127544,0.948012355
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.05,1.63,13.01,0,11.82,0,0.16,6.99,10.11,2.24,0.15,0.21,0,0,0,95.37,3.357279985,0.869151743
